round,accuracy
0,0.19321451406649617
3,0.19373401534526855
8,0.20120684143222506
13,0.19932864450127877
14,0.1937140345268542
23,0.1873201726342711
26,0.1809462915601023
35,0.1800271739130435
41,0.17768941815856779
42,0.17730978260869565
51,0.1680986253196931
53,0.16993686061381075
