epoch,avg_loss,accuracy
0,4.614908695220947,0.011471518987341773
1,4.58047342300415,0.017602848101265823
2,4.514376163482666,0.028184335443037976
3,4.447702407836914,0.026997626582278483
4,4.371490478515625,0.0368868670886076
5,4.336851119995117,0.04084256329113924
6,4.259779930114746,0.044996044303797465
7,4.203796863555908,0.05102848101265823
8,4.165981292724609,0.05478639240506329
9,4.102135181427002,0.053303006329113924
10,4.059447765350342,0.05992879746835443
11,3.994614839553833,0.06289556962025317
12,3.9809560775756836,0.061708860759493674
13,3.9430923461914062,0.06536787974683544
14,3.918229818344116,0.06932357594936708
15,3.8372411727905273,0.06566455696202532
16,3.8331990242004395,0.06873022151898735
17,3.8140969276428223,0.0668512658227848
18,3.802812337875366,0.06863132911392406
19,3.736051321029663,0.07238924050632911
20,3.7020769119262695,0.06932357594936708
21,3.684222459793091,0.07041139240506329
22,3.662304401397705,0.07456487341772151
23,3.64459228515625,0.07446598101265822
24,3.605924367904663,0.07644382911392406
25,3.6385464668273926,0.07782832278481013
26,3.622270107269287,0.07713607594936708
27,3.5506880283355713,0.0803006329113924
28,3.5208845138549805,0.07772943037974683
29,3.5285069942474365,0.07644382911392406
30,3.491816520690918,0.07891613924050633
31,3.5141096115112305,0.0803006329113924
32,3.5089027881622314,0.08267405063291139
33,3.442282199859619,0.08326740506329114
34,3.4345767498016357,0.0793117088607595
35,3.3856201171875,0.08326740506329114
36,3.409214496612549,0.08297072784810126
37,3.4313642978668213,0.08297072784810126
38,3.391054391860962,0.08000395569620253
39,3.3665590286254883,0.08178401898734178
40,3.402690887451172,0.08079509493670886
41,3.3152005672454834,0.0815862341772152
42,3.2893126010894775,0.07960838607594936
43,3.3047261238098145,0.08732199367088607
44,3.3121542930603027,0.08287183544303797
45,3.260234832763672,0.0836629746835443
46,3.2777955532073975,0.08395965189873418
47,3.2262887954711914,0.08850870253164557
48,3.2047393321990967,0.08504746835443038
49,3.2480669021606445,0.08801424050632911
50,3.2012124061584473,0.08287183544303797
51,3.2174220085144043,0.08702531645569621
52,3.2330029010772705,0.08613528481012658
53,3.2403881549835205,0.08850870253164557
54,3.2535457611083984,0.08613528481012658
55,3.1956515312194824,0.08583860759493671
56,3.207658290863037,0.09127768987341772
57,3.102220058441162,0.09058544303797468
58,3.1706838607788086,0.08722310126582279
59,3.164267063140869,0.08672863924050633
60,3.143909454345703,0.08751977848101265
61,3.1378872394561768,0.08484968354430379
62,3.133815050125122,0.08643196202531646
63,3.1827869415283203,0.08880537974683544
64,3.171917676925659,0.0859375
65,3.117802381515503,0.08880537974683544
66,3.081451892852783,0.0871242088607595
67,3.0816595554351807,0.09127768987341772
68,3.091831922531128,0.08880537974683544
69,3.0945301055908203,0.0903876582278481
70,3.0670061111450195,0.08415743670886076
71,3.1144473552703857,0.08870648734177215
72,3.066840887069702,0.09058544303797468
73,3.1152284145355225,0.08890427215189874
74,3.020206928253174,0.08761867088607594
75,2.998595714569092,0.09187104430379747
76,3.1321749687194824,0.08949762658227849
77,3.022514820098877,0.0893987341772152
78,3.077854633331299,0.09058544303797468
79,3.0543482303619385,0.08949762658227849
80,3.0363383293151855,0.09058544303797468
81,2.934077501296997,0.08801424050632911
82,3.090532064437866,0.09276107594936708
83,2.9168148040771484,0.0871242088607595
84,2.9597983360290527,0.09295886075949367
85,2.988975763320923,0.08504746835443038
86,3.0325927734375,0.09355221518987342
87,3.053445339202881,0.09543117088607594
88,3.050448417663574,0.0915743670886076
89,3.0594875812530518,0.09572784810126582
90,2.9412899017333984,0.09177215189873418
91,2.9503865242004395,0.0960245253164557
92,2.971914291381836,0.09177215189873418
93,2.9512674808502197,0.09048655063291139
94,2.9731051921844482,0.0925632911392405
95,2.9472200870513916,0.08949762658227849
96,2.898686408996582,0.09117879746835443
97,2.9531073570251465,0.09444224683544304
98,2.9363932609558105,0.0915743670886076
99,2.8763246536254883,0.09177215189873418
